latitude,longitude,depth,mag,nst,gap,dmin,rms,horizontalError,depthError,magError,magNst
36.371,71.1921,147.678,4,29,77,2.532,0.68,7.47,10.443,0.172,9
37.2707,-117.5819,6.8,1.8,13,92.42,0.064,0.1215,,1.6,0.91,10
-31.6488,-70.1446,113.646,4.2,31,72,0.809,0.51,3.6,5.48,0.235,5
-6.7281,129.6574,151.942,4.4,24,111,2.205,0.55,10.32,8.771,0.149,13
58.23966667,-155.1438333,2.74,0.19,7,131,,0.11,0.29,0.42,0.189963415,7
19.40483284,-155.3226624,3.950000048,1.81,24,73,,0.119999997,0.29,0.610000014,0.15,4
59.8978,-152.5789,86.1,1.6,,,,0.27,,0.5,,
31.66205375,-104.3719144,6.131567383,2.9,20,69,0.049519248,0.3,1.301946673,1.028554309,0.2,10
31.67997354,-104.3726089,6.131567383,2.1,27,56,0.045427961,0.3,1.09229417,0.934862095,0.1,19
40.0112,-120.1733,9.1,1.3,6,199.94,0.203,0.0454,,4.9,0.38,5
38.8116684,-122.8286667,1.17,0.65,9,92,0.002825,0.02,0.31,0.7,0.3,10
56.22433333,-159.4723333,6.12,0.08,4,285,,0.05,0.52,0.46,0.296128032,4
34.6481667,-116.2861667,5.39,1.6,15,73,0.1164,0.13,0.29,1.94,0.119,22
34.0438333,-117.2268333,13.91,0.86,34,96,0.1062,0.2,0.31,0.56,0.128,10
17.7905,-66.89566667,6.23,2.5,7,270,0.1842,0.1,0.61,0.62,0.024825461,3
38.8230019,-122.8431702,2.18,0.73,17,74,0.00636,0.01,0.24,0.44,0.17,17
33.9515,-116.7906667,10.16,1.97,79,21,0.03805,0.14,0.11,0.23,0.149,61
40.236,-121.1653333,6.01,2.9,36,39,0.01922,0.15,0.3,0.41,0.151,63
38.8173332,-122.8221664,2.14,0.94,21,50,0.01007,0.02,0.2,0.56,0.23,21
-40.9229,42.7273,10,4.8,26,87,19.505,0.4,12.03,1.671,0.118,22
34.235,-117.6365,4.54,1.25,40,74,0.01865,0.15,0.21,0.28,0.127,24
58.2578,-155.1439,0,1.1,,,,0.54,,1.1,,
61.6227,-146.3311,31.7,1.6,,,,0.86,,0.2,,
58.25733333,-155.093,4.2,0.38,8,98,,0.14,0.27,0.65,0.171844289,8
58.26116667,-155.098,4.99,0.18,8,97,,0.2,0.55,0.84,0.148345675,8
58.26983333,-155.1096667,4.53,-0.08,5,126,,0.06,0.87,1,0.198254133,5
58.25366667,-155.1005,3.78,1.1,14,93,,0.1,0.22,0.41,0.220380033,14
37.1841,-116.7404,0.8,0.7,9,196.46,0.043,0.1203,,7,1.05,7
52.1345,-176.2126667,7.92,0.31,4,307,,0.1,0.95,0.86,0.263840839,4
58.25233333,-155.1055,2.53,-0.35,5,225,,0.04,0.36,0.34,0.116868098,5
58.26083333,-155.0943333,4.52,0.64,8,98,,0.16,0.38,0.74,0.120760331,4
31.62079716,-103.9562095,7.314135742,2.7,23,50,0.014777664,0.1,0.678964115,0.72832632,0,6
37.1528,-116.7554,0,-0.5,5,188.62,0.028,0.1471,,6.2,1.25,5
58.1725,-155.365,11.5,0.6,,,,0.48,,0.3,,
37.2955,-117.5685,5.1,1.4,9,127.39,0.088,0.1348,,3.3,0.82,5
33.8953333,-117.7581667,10.68,1.46,61,68,0.04964,0.19,0.2,0.3,0.157,36
38.8356667,-122.7896652,1.68,0.77,11,66,0.002789,0.01,0.33,0.76,0.16,12
19.40866667,-155.2748333,6.31,1.74,17,64,,0.1,0.33,0.51,0.133628008,9
37.796,-122.191,9.52,1.15,25,107,0.01865,0.09,0.22,0.45,0.321,18
38.8160019,-122.8256683,2.36,0.76,14,90,0.007633,0.02,0.35,0.98,0.47,15
5.6926,124.3785,10,5.2,80,75,1.815,0.75,7.7,1.867,0.093,11
37.2783333,-117.5841667,6.16,3.04,14,170,0.06695,0.16,0.56,0.45,0.193,61
17.99466667,-66.80666667,17.1,2.01,6,180,0.07179,0.14,0.57,0.96,0.075245295,6
37.2729,-117.6188,10.9,0.6,3,251.58,0.046,0.1934,,7.1,0.72,3
32.9846667,-116.4221667,11.03,0.74,9,123,0.01607,0.13,0.47,0.83,0.053,5
19.43083333,-155.3173333,3.8,1.91,28,118,,0.09,0.28,0.57,0.13602461,5
19.38816667,-155.28,1.53,1.85,21,60,,0.1,0.17,0.13,0.232300338,9
37.2838,-117.5791,6.1,1.8,14,96.35,0.074,0.1828,,1.6,0.97,10
-24.4148,-179.5808,441.059,4.8,75,103,5.05,0.92,11.21,8.053,0.051,120
35.0331667,-117.7,-0.82,1.71,16,141,0.09859,0.17,0.74,31.61,0.206,41
35.5665,-82.887,1.054,2.6,29,44,0.119,0.86,0.9,5.147,0.082,39
17.95266667,-66.95266667,14.87,2.16,5,209,0.07334,0.05,0.64,0.52,0.158453503,5
58.20216667,-155.1715,5.12,0.23,7,100,,0.1,0.33,1.25,0.217760578,7
